job_code,title,job_group,job_subgroup,employee_category,salary_range_summary,salary_range_detail,job_summary,job_responsibilities,education,flsa_status,institution_job,supervisory_required,scaled_job,job_codes_detail,knowledges,skills,direct_link
HS040,Rehabilitation Counselor,Health and Wellness Services,Health Services Professional,Academic Staff,"20: $51,955-96,637","20: $51,955-96,637","Provides counseling, evaluates, diagnoses, and manages treatment to assist clients in developing skills and behaviors necessary for recovery. May also instruct students.","Performs mental and physical health assessments, evaluations, and treatments; Identifies client behaviors or situations that interfere with recovery; Develops, schedules, facilitates, and monitors community outreach programs and individual and group treatment and training programs with clients, client families, clinical staff, and physicians that promote patient independence; Updates patient files with treatment information in accordance with department and agency guidelines; Supervises the day-to-day activities of rehabilitation staff; Provides rehabilitation counselor instruction to students and interns as needed",Master's Degree Preferred Minimum,Exempt,No,No,No,HS040: Rehabilitation Counselor,Administrative; Customer and Personal Service; Education and Training; Psychology; Therapy and Counseling,Active Listening; Monitoring; Service Orientation; Social Perceptiveness; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=HS040
HS041,Rehabilitation Specialist,Health and Wellness Services,Health Services Professional,Academic Staff,"20: $51,955-96,637","20: $51,955-96,637","Creates specialized treatment plans for individuals involving coping skills and behavioral modification techniques, implements or supervises the provision of services designed to increase independence and encourages development for clients. May also assist in student instruction.","Assesses patients, determines appropriate treatment, and creates specialized treatment plans to develop coping skills, modify behavior, and increase independence; Updates patient records with treatment plans and progress, and reports noticeable changes in client behavior to personnel in accordance with departmental and agency guidelines; Represents rehabilitation service programs among community agencies to raise awareness of services and coordinate patient treatment across specialties; Assists in providing rehabilitation counselor instruction to students and interns",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,HS041: Rehabilitation Specialist,Administrative; Customer and Personal Service; Education and Training; Psychology; Therapy and Counseling,Active Listening; Monitoring; Service Orientation; Social Perceptiveness; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=HS041
PB014,Reporter,Public Broadcasting,Reporting,Academic Staff,"20: $51,955-96,637","20: $51,955-96,637","Researches, prepares, and reports stories that are balanced, issue-oriented, and analytical for use in news and/or public affairs programs. Employs editorial judgement to select sources, conducts and records interviews, writes scripts, and may edit audio and/or video during the production of reporting assignments.","Contributes content including interviewing sources, writing stories/reports, and completing other necessary production tasks to create news/public affairs reports; Applies editorial judgment and maintains industry standards of journalistic ethics and excellence; Stays abreast of developments in assigned areas, maintains contacts on continued stories to ensure follow-up, and researches topic areas to provide in-depth reports; Collaborates with digital content teams on both long-term and short-term multimedia projects",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,PB014: Reporter,Communications and Media; Computers and Electronics; Customer and Personal Service; Law and Government; Telecommunications,Active Listening; Reading Comprehension; Social Perceptiveness; Speaking; Writing,https://hr.wisc.edu/standard-job-descriptions/?q=PB014
SC030,Research Administration Director,"Sponsored Programs, Grants, and Contracts","Sponsored Programs, Grants, and Contract Administration (Multi-functional)",Limited,Scaled (expand for details),"30: $145,736-271,069; 29: $126,727-235,712 (B); 28: $110,197-204,967 (C)","Oversees research and sponsored projects administration activities on behalf of a division within the institution. Provides oversight for all components of lifecycle administration of sponsored grants, agreements, and contracts. Represents the division to external and internal stakeholders related to creation of policy, procedure, strategic planning, budgetary, and resource decisions.","Directs and coordinates staff, systems, and procedures related to the processing of sponsor supported grants, contracts, and agreements on a daily basis; Oversees pre-award and/or post-award research administration activities; Facilitates internal or external audits of grants and contracts; Serves as a liaison to internal and external leadership and stakeholders. Advises principal investigators, leadership, and central grants administration, interacts with granting agencies regarding policy interpretation, and provides recommendations for successful outcomes; Establishes, implements, and maintains policy and procedures for sponsored project administration; Oversees division compliance related to sponsored grants and contracts; Develops, conducts, and administers training initiatives for faculty, staff, and other stakeholders in areas related to research administration; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees",Master's Degree Preferred Minimum,Exempt,No,Yes,Yes,SC030: Research Administration Director; SC043: Research Administration Director (B); SC044: Research Administration Director (C),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=SC030
SC047,Research Administration Director (Inst),"Sponsored Programs, Grants, and Contracts","Sponsored Programs, Grants, and Contract Administration (Multi-functional)",Limited,"30: $145,736-271,069","30: $145,736-271,069","Oversees research and sponsored projects administration activities that have institutional recognition and scope. Provides oversight for all components of lifecycle administration of sponsored grants, agreements, and contracts. Represents the institution to external and internal stakeholders related to creation of policy, procedure, strategic planning, budgetary, and resource decisions.","Directs and coordinates staff, systems, and procedures related to the processing of sponsor supported grants, contracts, and agreements on a daily basis; Oversees pre-award and/or post-award research administration activities; Facilitates internal or external audits of grants and contracts; Serves as a liaison to internal and external leadership and stakeholders. Advises principal investigators, leadership, and central grants administration, interacts with granting agencies regarding policy interpretation, and provides recommendations for successful outcomes; Establishes, implements, and maintains policy and procedures for sponsored project administration; Oversees institutional compliance related to sponsored grants and contracts; Develops, conducts, and administers training initiatives for faculty, staff, and other stakeholders in areas related to research administration; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees",Master's Degree Preferred Minimum,Exempt,Yes,Yes,No,SC047: Research Administration Director (Inst),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=SC047
SC029,Research Administrative Specialist,"Sponsored Programs, Grants, and Contracts","Sponsored Programs, Grants, and Contract Administration (Multi-functional)",Academic Staff,"21: $56,112-104,368","21: $56,112-104,368","Works directly with principal investigator(s) and/or research program director(s) to carry out research administrative functions related sponsored grants, agreements, or award management (proposal preparation through closeout).","Serves as a liaison and expert resource for researchers regarding the interpretation of policy and procedure related to overall sponsored project management; Works collaboratively with researchers to prepare non-technical materials for proposals, drafting contracts or agreements for review, and/or advising award setup; Leads researchers in the preparation and/or maintenance documentation, financial management, and/or reporting requirements related to sponsored grants, contracts, or agreements; May identify funding opportunities and disseminate to principal investigators; Maintains and monitors grants and contract budgets; Assures compliance with grant, contract or agreement requirements and determine whether objectives are being met",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,SC029: Research Administrative Specialist,Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=SC029
RE022,Research Analyst I,Research,Data Analysis Services,Academic Staff,"20: $51,955-96,637","20: $51,955-96,637",Assists with the analysis and interpretation of collected data and drafts reports to develop and communicate research findings.,"Analyzes data and summarizes research results for a defined research area or study by utilizing established processes; Prepares reports and manuscripts and assists with the development and presentation of materials through various communication platforms; Maintains organization of research records and responds to data requests and inquiries; Serves as an initial point of contact for individuals and groups providing basic information about result analysis and methodologies, answers questions as needed",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,RE022: Research Analyst I,Administration and Management; Biology; Computers and Electronics; Customer and Personal Service; Education and Training,Active Listening; Complex Problem Solving; Critical Thinking; Mathematics; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=RE022
RE023,Research Analyst II,Research,Data Analysis Services,Academic Staff,"21: $56,112-104,368","21: $56,112-104,368",Leads the analysis and interpretation of collected data to support research goals and supervises the creation of oral and written reports to communicate research findings.,"Develops and implements processes, guides staff, analyzes data, and summarizes complex research results for a defined research area or study by utilizing established processes; Designs and implements processes for the preparation of reports and manuscripts and leads the presentation of materials through various communication platforms; Contributes to the development of unit strategies, research procedures, and analysis methodologies and recommends improvements to leadership; Serves as a subject matter expert and main point of contact regarding research analysis and research area operational processes",Master's Degree Preferred Minimum,Exempt,No,No,No,RE023: Research Analyst II,Administration and Management; Biology; Computers and Electronics; Customer and Personal Service; Education and Training,Active Listening; Complex Problem Solving; Critical Thinking; Mathematics; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=RE023
SA009,Research Assistant,Student Assistant,Student Assistant,Student Assistants,"53: $71,272 (Minimum)","53: $71,272 (Minimum)","A research assistant is a graduate student working towards a Master's or Ph.D. degree. An appointment as a research assistant is appropriate if the activity performed by the research assistant is primarily for the benefit of the individual's course of study and research and directly applicable to the individual's thesis or dissertation. Tasks which are irrelevant or unnecessary to the appointee's academic program or repetitive beyond that which is necessary to achieve excellence in the activity are not appropriate for an individual appointed as a research assistant. The appointee is required to register for a full load of graduate courses and research. A maximum research assistant stipend is established annually on an institution-wide basis, although the amount of each individual stipend may vary among departments. A research assistant is to be supported from the federal research funds only if it can be documented that the activities of the research assistant constitute necessary work towards the objectives of the sponsored research project which provides the funding. Payments made to program or project assistants are fully taxable as wages, and taxes will be withheld from paychecks.",,,Exempt,No,No,No,SA009: Research Assistant,,,https://hr.wisc.edu/standard-job-descriptions/?q=SA009
RE112,Research Assistant Professor,Research,Research,Academic Staff,"78: $59,151 (Minimum)","78: $59,151 (Minimum)","Please note: The process for placement into the Teaching Professor and Research Professor titles is to be determined. Serves as a subject matter expert and primary investigator engaged in fundamental and/or applied scientific research within a specialized and designated field of study to expand principles and further the overall direction of the discipline. Each department must define the specific substantive criteria for level advancement, however, differences between successively higher title levels must reflect demonstrable differences in experience and knowledge gained, applied to the specific duties of the function.","Secures intramural and extramural funding through grants to establish financial independence for research program(s); Formulates and directs research program scientific and technical processes and policies and procedures to ensure compliance with established financial, ethical, and administrative requirements and standards; Develops and publishes research content in peer-reviewed publications, presents materials at conferences, participates as an editor for publications, and/or participates in committees; Supervises the day-to-day operational activities of research program staff","PhD or other terminal degree, or a degree at least one level above the level of instruction, or otherwise approved as qualified by the Dean Required",Exempt,No,No,No,RE112: Research Assistant Professor,,,https://hr.wisc.edu/standard-job-descriptions/?q=RE112
PD012,Research Associate,Post Degree Training,Post Degree Training,Employees-in-Training,55: Contact your division,55: Contact your division,"A research associate is an individual who is continuing training after receipt of the doctorate. The appointing unit must verify that all requirements for the doctorate (possibly M.D., D.V.M., or J.D.) have been satisfactorily completed before the first day of any appointment using this title. For example, the successful completion of an oral defense of a Ph.D. is not sufficient. The actual filing of the final thesis is required prior to the beginning date of the appointment. A research associate is usually funded from a principal investigator's grant funds and other sources rather than from fellowship funds awarded an individual in national competition. A research associateship is normally for a two- or three-year term, up to a maximum of five years, and is normally given to an individual who is within five years of having received the doctorate. Department level approval is required up to three years. Over three years, up to a maximum of five years, requires annual approval by the Dean's office prior to each year extension and must include a statement by the department to the Dean indicating that training is continuing. Payments made to research associates are fully taxable as wages, and taxes will be withheld from monthly paychecks.",,,Exempt,No,No,No,PD012: Research Associate,,,https://hr.wisc.edu/standard-job-descriptions/?q=PD012
RE113,Research Associate Professor,Research,Research,Academic Staff,"79: $74,387 (Minimum)","79: $74,387 (Minimum)","Please note: The process for placement into the Teaching Professor and Research Professor titles is to be determined. Serves as a subject matter expert and primary investigator engaged in fundamental and/or applied scientific research within a specialized and designated field of study to expand principles and further the overall direction of the discipline. Each department must define the specific substantive criteria for level advancement, however, differences between successively higher title levels must reflect demonstrable differences in experience and knowledge gained, applied to the specific duties of the function.","Secures intramural and extramural funding through grants to establish financial independence for research program(s); Formulates and directs research program scientific and technical processes and policies and procedures to ensure compliance with established financial, ethical, and administrative requirements and standards; Develops and publishes research content in peer-reviewed publications, presents materials at conferences, participates as an editor for publications, and/or participates in committees; Supervises the day-to-day operational activities of research program staff","PhD or other terminal degree, or a degree at least one level above the level of instruction, or otherwise approved as qualified by the Dean Required",Exempt,No,No,No,RE113: Research Associate Professor,,,https://hr.wisc.edu/standard-job-descriptions/?q=RE113
FP025,Research Capital Projects Director,Facilities and Capital Planning,Facilities Project Management,Limited,"28: $110,197-204,967","28: $110,197-204,967","Develops and tracks budget, manages scope, and ongoing operations for research-focused capital planning projects and facilities. Develops documentation, policies, and procedures for research capital improvements and maintenance. This individual is also responsible for personnel.","Develops research capital improvements strategic plans and objectives to ensure appropriate and effective use of financial, administrative, staffing resources in support of institutional goals; Develops policies and procedures for annual research capital improvement projects to comply with regulations, institutional policies, and institutional objectives; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees; Develops and audits the unit budget and reporting documentation; Serves as the unit liaison to internal stakeholder groups providing organizational information to align project objectives with overall strategic plans and initiatives",Bachelor's Degree Preferred Minimum,Exempt,No,Yes,No,FP025: Research Capital Projects Director,Administration and Management; Administrative; Customer and Personal Service; Personnel and Human Resources; Production and Processing,Active Listening; Coordination; Monitoring; Reading Comprehension; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=FP025
