Date,CPI,CPI_2021_Index
1947-01-01,21.48,12.980633147113595
1947-02-01,21.62,12.896577243293248
1947-03-01,22.0,12.673818181818183
1947-04-01,22.0,12.673818181818183
1947-05-01,21.95,12.702687927107062
1947-06-01,22.08,12.62789855072464
1947-07-01,22.23,12.542690058479533
1947-08-01,22.4,12.447500000000002
1947-09-01,22.84,12.207705779334502
1947-10-01,22.91,12.17040593627237
1947-11-01,23.06,12.091240242844753
1947-12-01,23.41,11.910465612985904
1948-01-01,23.68,11.774662162162162
1948-02-01,23.67,11.779636670891424
1948-03-01,23.5,11.864851063829787
1948-04-01,23.82,11.705457598656592
1948-05-01,24.01,11.612827988338193
1948-06-01,24.15,11.545507246376813
1948-07-01,24.4,11.4272131147541
1948-08-01,24.43,11.413180515759313
1948-09-01,24.36,11.445977011494254
1948-10-01,24.31,11.469518716577541
1948-11-01,24.16,11.540728476821192
1948-12-01,24.05,11.593513513513514
1949-01-01,24.01,11.612827988338193
1949-02-01,23.91,11.661396905060645
1949-03-01,23.91,11.661396905060645
1949-04-01,23.92,11.656521739130435
1949-05-01,23.91,11.661396905060645
1949-06-01,23.92,11.656521739130435
1949-07-01,23.7,11.764725738396626
1949-08-01,23.7,11.764725738396626
1949-09-01,23.75,11.739957894736843
1949-10-01,23.67,11.779636670891424
1949-11-01,23.7,11.764725738396626
1949-12-01,23.61,11.809572215163067
1950-01-01,23.51,11.859804338579327
1950-02-01,23.61,11.809572215163067
1950-03-01,23.64,11.794585448392555
1950-04-01,23.65,11.789598308668078
1950-05-01,23.77,11.730079932688263
1950-06-01,23.88,11.67604690117253
1950-07-01,24.07,11.583880348982136
1950-08-01,24.2,11.521652892561985
1950-09-01,24.34,11.455382087099425
1950-10-01,24.5,11.380571428571429
1950-11-01,24.6,11.33430894308943
1950-12-01,24.98,11.161889511609287
1951-01-01,25.38,10.985973207249804
1951-02-01,25.83,10.794579945799459
1951-03-01,25.88,10.773724884080371
1951-04-01,25.92,10.757098765432099
1951-05-01,25.99,10.728126202385534
1951-06-01,25.93,10.752950250674894
1951-07-01,25.91,10.761250482439213
1951-08-01,25.86,10.782057231245167
1951-09-01,26.03,10.711640414905878
1951-10-01,26.16,10.658409785932722
1951-11-01,26.32,10.593617021276597
1951-12-01,26.47,10.533585190782018
1952-01-01,26.45,10.541550094517959
1952-02-01,26.41,10.557516092389246
1952-03-01,26.39,10.565517241379311
1952-04-01,26.46,10.537566137566138
1952-05-01,26.47,10.533585190782018
1952-06-01,26.53,10.509762532981531
1952-07-01,26.68,10.450674662668666
1952-08-01,26.69,10.446759085799926
1952-09-01,26.63,10.470296657904619
1952-10-01,26.69,10.446759085799926
1952-11-01,26.69,10.446759085799926
1952-12-01,26.71,10.438936727817296
1953-01-01,26.64,10.466366366366367
1953-02-01,26.59,10.486047386235427
1953-03-01,26.63,10.470296657904619
1953-04-01,26.69,10.446759085799926
1953-05-01,26.7,10.442846441947566
1953-06-01,26.77,10.41553978333956
1953-07-01,26.79,10.40776409107876
1953-08-01,26.85,10.384506517690875
1953-09-01,26.89,10.369059129788026
1953-10-01,26.95,10.345974025974026
1953-11-01,26.85,10.384506517690875
1953-12-01,26.87,10.376777074804615
1954-01-01,26.94,10.34981440237565
1954-02-01,26.99,10.330640978140053
1954-03-01,26.93,10.353657630894913
1954-04-01,26.86,10.380640357408787
1954-05-01,26.93,10.353657630894913
1954-06-01,26.94,10.34981440237565
1954-07-01,26.86,10.380640357408787
1954-08-01,26.85,10.384506517690875
1954-09-01,26.81,10.4
